Sample site,Site Category,Number of MPs (pieces /50g),Acrylic,PA,PE,PMMA,PP,PVC,Synthetic fibers,Synthetic rubbers,Others
D-1,E,620,40,40,100,0,180,0,0,210,50
D-2,A,460,190,10,10,30,90,0,40,0,90
D-3,A,920,200,0,10,0,100,310,20,140,140
D-4,F,2830,710,210,140,430,360,120,0,580,280
D-5,F,1160,70,0,200,130,340,30,0,280,110
D-6,D,1190,180,0,30,10,120,0,10,720,120
D-7,C,2070,470,0,230,50,190,0,40,680,410
D-8,C,1140,40,30,20,20,120,0,10,770,130
D-9,A,5800,1210,30,50,1640,200,190,80,290,2110
D-10,A,5690,4540,10,150,30,230,260,0,0,470
D-11,A,4120,450,10,340,2040,450,100,100,220,410
D-12,A,342,140,10,130,2360,20,30,10,590,130
D-13,A,3100,550,0,180,0,140,1320,10,740,160
D-14,A,3710,510,40,210,190,380,620,10,1520,230
D-15,A,6690,4250,30,0,0,40,1370,80,840,80
D-16,A,2400,1360,40,70,0,100,60,20,540,210
D-17,B,5040,400,20,120,90,200,1920,30,2170,90
D-18,B,25380,450,70,40,70,200,17940,30,6580,0
D-19,F,4340,640,90,90,420,520,140,0,2130,310
D-20,F,15010,290,20,150,0,210,80,0,14070,190
D-21,F,22290,390,60,40,130,280,170,0,21160,60
D-22,F,28520,1370,110,790,170,1130,180,10,24140,620
D-23,F,12280,240,60,180,280,160,180,0,11180,0
D-24,D,3640,150,20,140,70,160,0,0,3040,60
D-25,D,1160,250,20,40,0,180,20,0,420,230
D-26,F,23960,340,0,160,650,120,130,20,22430,110
D-27,F,17210,1170,10,2270,260,1360,0,60,9890,2190
D-28,A,2090,330,100,160,20,400,80,20,840,140
D-29,C,9510,60,20,240,190,390,0,0,8430,180
D-30,C,8290,110,20,490,80,450,0,0,6970,170
FD-1,E,2410,1060,100,80,10,150,270,130,0,610
FD-2,A,1540,1360,50,10,0,100,0,0,0,20
FD-3,A,1370,1210,30,0,0,100,0,20,0,10
